bin,e_start,est,se,n_cells,lo,hi,lo_unif,hi_unif,cohort,freq,n_units
-33,-132,-0.08784571128669064,0.034766070583506385,3,-0.15598720963036317,-0.01970421294301812,-0.17132428407875022,-0.004367138494631051,C6,week,2
-32,-128,-0.08763952112485925,0.035048327170779145,4,-0.15633424237958637,-0.018944799870132117,-0.17179583450339356,-0.0034832077463249345,C6,week,2
-31,-124,-0.08196917021160005,0.029821060917168248,4,-0.14041844960924982,-0.023519890813950284,-0.15357402985574103,-0.010364310567459081,C6,week,2
-30,-120,-0.08082477247835108,0.029657693670331844,4,-0.1389538520722015,-0.02269569288450067,-0.15203736275244306,-0.00961218220425912,C6,week,2
-29,-116,-0.05708598845916262,0.029882982133984923,4,-0.11565663344177307,0.0014846565234478276,-0.12883953027297784,0.014667553354652592,C6,week,2
-28,-112,-0.048314573498944496,0.03219196873211164,4,-0.1114108322138833,0.014781685215994309,-0.125612339971242,0.028983192973352986,C6,week,2
-27,-108,-0.049129591458473974,0.029520116083004685,4,-0.10698901898116316,0.008729836064215207,-0.12001183722007178,0.021752654303123835,C6,week,2
-26,-104,-0.05253155611516379,0.014196341162581724,4,-0.08035638479382397,-0.024706727436503612,-0.08661910984876627,-0.01844400238156131,C6,week,2
-25,-100,-0.04025709706069197,0.016140537456329283,1,-0.07189255047509736,-0.008621643646286578,-0.0790129589782701,-0.0015012351431138438,C6,week,2
-24,-96,-0.03190382460723135,0.013480416764198394,4,-0.058325441465060204,-0.005482207749402501,-0.06427233601016538,0.0004646867957026832,C6,week,2
-23,-92,-0.03128647905245838,0.018058150105316906,4,-0.06668045325887952,0.004107495153962762,-0.07464681781826082,0.012073859713344064,C6,week,2
-22,-88,-0.04698891621393772,0.021410528987580182,4,-0.08895355302959487,-0.005024279398280561,-0.09839882169385553,0.004420989265980085,C6,week,2
-21,-84,-0.030512989687400426,0.020194319277370025,4,-0.07009385547104567,0.00906787609624482,-0.07900259243766909,0.01797661306286824,C6,week,2
-20,-80,-0.04551937530381084,0.021006692836591068,1,-0.08669249326352933,-0.004346257344092344,-0.09595960934946528,0.004920858741843601,C6,week,2
-19,-76,-0.050315448216536995,0.021328118677531382,4,-0.09211856082449851,-0.008512335608575484,-0.10152747412735881,0.0008965776942848197,C6,week,2
-18,-72,-0.046753502098563174,0.020455858527145647,4,-0.08684698481176864,-0.006660019385357707,-0.09587109998702076,0.0023640957898944173,C6,week,2
-17,-68,-0.024384766008986307,0.017744343839901127,4,-0.05916367993519252,0.010394147917219904,-0.06699160865830375,0.018222076640331132,C6,week,2
-16,-64,-0.008147074350206045,0.007817650465204364,4,-0.023469669262006596,0.0071755205615945065,-0.026918430804048387,0.010624282103636296,C6,week,2
-15,-60,-0.0055119844689719135,0.009475020590957691,4,-0.02408302482724899,0.01305905588930516,-0.028262936268620233,0.017238967330676404,C6,week,2
